Response Received Date,Overall Experience,Person Identifier,,What Issues,"Incorrect, Duplicate, and/or Missing Items?",Damaged Items?,Haven't Received Package?,Order Delivered Late?,Other Issue?,What could we improve,What was great,Additional Comments,Any Issues,Arrival Time,Tracking,Campaign,Survey Details
12/30/2022 17:26,Very Satisfied,71842460_2022_04_k,,,,,,,,,Books arrived on time prior to the school winter break,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828181362_2335
12/30/2022 15:57,Neutral,71847138_2022_04_x,,,,,,,,"Books had a hard time being delivered because they arrived after school hours, them back to the post office only to be rejected again on a Saturday... I ended up going to the post office to get them because it was a teacher work day and no office staff to accept delivery. Is it an option to be delivered to my home? I'll look into this before placing my next order.",,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828250312_7037
12/30/2022 15:39,Very Satisfied,71826358_2022_03_y,,,,,,,,,It's easy!,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828334218_12576
12/30/2022 15:32,Very Satisfied,71893357_2022_04_x,,,,,,,,,excellent cutomer service and speedy delivery,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828487295_22036
12/30/2022 15:09,Very Satisfied,71797212_2022_04_i,,,,,,,,,The order came within a week from ordering.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142526_182
12/30/2022 14:46,Very Dissatisfied,71814584_2022_03_s,,,,,,,,,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828396098_16348
12/30/2022 14:06,Very Satisfied,71816647_2022_03_i,,,,,,,,,It all went smoothly.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828437778_18612
12/30/2022 13:16,Satisfied,71873371_2022_03_k,,,,,,,,Nothing,,,No,No,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828300802_10537
12/30/2022 12:46,Very Dissatisfied,71866466_2022_04_k,,,,,,,,Find another way to deliver books.,,,No,No,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828320066_11938
12/30/2022 12:08,Satisfied,71854693_2022_03_9,,,,,,,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828476810_21543
