Date,Carrier,Tracking #,Order #,Delivery City,Star Rating,FeedbackCategory,Subcategory,Comment
Tue Oct 25 00:00:00 GMT 2022,ups,"	92419902712015573012630861","	71118126",,5,Thanks/Praise,Thanks/Praise,Great
Tue Oct 25 00:00:00 GMT 2022,ups,"	1Z1W1R130316893310","	71030903",MESA AZ US,4,Shipping/Delivery,Delivery Attempt After Hours,I was a bit confused when they tried to deliver the package to a school after 5:30 in the evening. But they delivered it the next day during school hours
Tue Oct 25 00:00:00 GMT 2022,ups,"	92419902712015573009979720","	69848806",,5,Thanks/Praise,Thanks/Praise,Received everything I ordered in a timely fashion!
Tue Oct 25 00:00:00 GMT 2022,ups,"	92419902712015573012332741","	null",SEWELL NJ US,2,Shipping/Delivery,Item Missing,My order was missing 4 books. I called so hopefully the missing books get shipped.
Tue Oct 25 00:00:00 GMT 2022,ups,"	1Z1W1R130317023132","	null",,5,Thanks/Praise,Thanks/Praise,Books are arriving soon than expected
Tue Oct 25 00:00:00 GMT 2022,ups,"	92419902712015573012274393","	null",COPPERAS COVE TX US,4,Thanks/Praise,Thanks/Praise,I received the package safely and intact.
Tue Oct 25 00:00:00 GMT 2022,ups,"	92419902712015573012248134","	null",UNIVERSITY PL WA US,5,Thanks/Praise,Thanks/Praise,"Easy to order online, fast shipping and delivery! Plus prices are still reasonable and communication has greatly improved!"
Mon Oct 24 00:00:00 GMT 2022,ups,"	92419902712015573012412191","	null",CHARLOTTE MI US,3,Shipping/Delivery,WISMO,The UPS to USPS shipping is frustrating.  Watching the tracking is ridiculousâ€¦from Michigan to Ohio only to go back to Michigan?  Makes no sense
Mon Oct 24 00:00:00 GMT 2022,ups,"	1Z1W1R130316844024","	null",LANCASTER CA US,5,Thanks/Praise,Thanks/Praise,This order was delivered on time
Mon Oct 24 00:00:00 GMT 2022,ups,"	1Z1W1R130316944765","	null",WILMINGTON DE US,5,Thanks/Praise,Thanks/Praise,Very swift returns this year after the nightmare last fall. Thank you for fixing that!
Mon Oct 24 00:00:00 GMT 2022,ups,"	1Z1W1R130316938192","	null",PORTER TX US,5,Thanks/Praise,Thanks/Praise,Fast delivery!
Mon Oct 24 00:00:00 GMT 2022,ups,"	92419902712015573011710922","	70766116",WALLINGFORD CT US,1,Shipping/Delivery,Delayed/Never Received Order,My book order went out for delivery on Oct. 6 (which was fast processing from Scholastic) but I'm still waiting for the books to arrive at school. Fingers cross it comes today.
Mon Oct 24 00:00:00 GMT 2022,ups,"	1Z1W1R130316904478","	null",,5,Thanks/Praise,Thanks/Praise,Quick!
Mon Oct 24 00:00:00 GMT 2022,ups,"	92419902712015573012368733","	null",MIDDLETOWN DE US,5,Thanks/Praise,Thanks/Praise,great
Sun Oct 23 00:00:00 GMT 2022,ups,"	92419902712015573012339801","	null",GRAND RAPIDS MI US,1,Shipping/Delivery,Item Missing,2 items are missing. Merry Christmas Mouse and The Word Collector
Sun Oct 23 00:00:00 GMT 2022,ups,"	1Z1W1R130316987166","	300122206",KEARNY NJ US,5,Thanks/Praise,Thanks/Praise,Wonderful customer service!
Sat Oct 22 00:00:00 GMT 2022,ups,"	1Z1W1R130316825367","	null",FAIRVIEW NJ US,1,Shipping/Delivery,Delayed/Never Received Order,it is not here like the other one
