Response Received Date,Overall Experience,Person Identifier,What Issues,What could we improve,What was great,Additional Comments,Any Issues,Arrival Time,Tracking,Campaign,Survey Details
12/30/2022 15:39,Very Satisfied,71826358_2022_03_y,,,It's easy!,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828334218_12576
12/30/2022 12:08,Satisfied,71854693_2022_03_9,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828476810_21543
12/30/2022 10:02,Very Satisfied,71837396_2022_04_k,My order has incorrect items and/or missing items.,,"It was nice to know that when I order the books will be coming in about a week, even with the holidays.",It is nice you send an alternative item if one is not in stock at the time.,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828427947_18359
12/29/2022 23:35,Very Satisfied,71830259_2022_04_k,,,timing before our winter break,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828250589_7180
12/29/2022 18:17,Satisfied,71877535_2022_04_k,,,,,No,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828495963_22708
12/29/2022 18:03,Satisfied,71856800_2022_04_j,,"December book orders need to come earlier, they end up coming too close to winter break, sometimes I can't get them to families in time.",,,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828255421_7288
12/29/2022 17:04,Very Dissatisfied,71891943_2022_04_j,,You did great!,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828357648_13875
12/29/2022 16:21,Very Satisfied,71838658_2022_03_s,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828239091_6334
12/29/2022 14:19,Very Dissatisfied,71823537_2022_04_y,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828509183_23604
12/29/2022 13:18,Somewhat Dissatisfied,71852780_2022_04_y,My items are damaged.,One hardcover book was damaged when it arrived.,,,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828291924_10065
12/29/2022 7:59,Satisfied,71803536_2022_04_x,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193753_3012
12/28/2022 17:29,Very Satisfied,71868417_2022_04_j,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828161862_1154
12/28/2022 11:41,Very Satisfied,71873407_2022_06_3,,,Speed and accuracy,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828216208_4515
12/28/2022 10:53,Very Satisfied,71821537_2022_03_a,,,The ordering process was easy for families and the books came in good time.,"For books shipped to school, there used to be ""tear away"" lists for each kid's books. This made separating the orders easier. The box did contain a shipping list, with names of students and books, but the ""tear away"" list was nice to keep with the order once sorted.",No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193568_2800
